id,worker,scenario,paradigm,iteration,calcium_min,calcium_max,calories_min,calories_max,caloriesFromFat_min,caloriesFromFat_max,cholesterol_min,cholesterol_max,dietaryFiber_min,dietaryFiber_max,folate_min,folate_max,iron_min,iron_max,magnesium_min,magnesium_max,niacin_min,niacin_max,potassium_min,potassium_max,protein_min,protein_max,saturatedFat_min,saturatedFat_max,sodium_min,sodium_max,sugars_min,sugars_max,thiamin_min,thiamin_max,totalCarbohydrates_min,totalCarbohydrates_max,totalFat_min,totalFat_max,vitaminA_min,vitaminA_max,vitaminB6_min,vitaminB6_max,vitaminC_min,vitaminC_max,rating_min,rating_max,order1,order2,order3
42114,457,3.6108,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
42114,457,3.6108,Faceted,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,4.5,,,,
42114,457,3.6108,Faceted,2,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,,,,,,,4.5,,,,
42114,457,3.6108,Faceted,3,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,1.5,,,,,,,,,75,100,4.5,,,,
42135,460,6.2876,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
42290,500,6.2360,SortedBoolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,
42292,500,0.5668,SortedBoolean,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,,,
42294,500,19.7431,EnhancedMAUT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
42294,500,19.7431,EnhancedMAUT,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
42330,508,6.2360,EnhancedMAUT,0,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,4,,,,
42330,508,6.2360,EnhancedMAUT,1,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,3,,,,
42330,508,6.2360,EnhancedMAUT,2,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,5,,,,
42330,508,6.2360,EnhancedMAUT,3,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,3,,,,
42330,508,6.2360,EnhancedMAUT,4,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,5,,,,
42330,508,6.2360,EnhancedMAUT,5,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,4,,,,
42330,508,6.2360,EnhancedMAUT,6,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,5,,,,
42330,508,6.2360,EnhancedMAUT,7,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,3,,,,
42330,508,6.2360,EnhancedMAUT,8,1000.0,,2500.0,,100,,300.0,,38.0,,0.4,,8.0,,400.0,,19.0,,4700.0,,56.0,,,,750.0,,,,1.5,,130.0,,,,3000.0,,1.3,,90.0,,5,,,,
42332,508,0.5668,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
42332,508,0.5668,Faceted,1,,,2400,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
42332,508,0.5668,Faceted,2,,,2400,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,120,,,,,,,4.5,,,,
42332,508,0.5668,Faceted,3,,,2400,2600,,,,,,,,,,,,,,,,,,,25,35,,,,,,,,,100,120,,,,,,,4.5,,,,
42332,508,0.5668,Faceted,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
42334,508,5.4192,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,
42340,511,0.5668,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,6000,,,,,,,,,
42340,511,0.5668,Faceted,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3000,6000,,,,,4.5,,,,
42342,511,19.7431,Faceted,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.5,,,,,,,,,,,,,,,
